0,1956
1,1994
2,457
3,1654
4,2003
5,1902
6,1741
7,1494
8,1597
9,1129
10,1146
11,1589
12,1989
13,1093
14,1881
15,1288
16,1848
17,1371
18,1508
19,1035
20,1813
21,1335
22,1634
23,1102
24,1262
25,1637
26,1048
27,1807
28,1270
29,1528
30,1670
31,1803
32,1202
33,1294
34,1570
35,1640
36,1484
37,1872
38,1140
39,1207
40,1485
41,1781
42,1778
43,1772
44,1334
45,1267
46,1045
47,1194
48,1873
49,1441
50,1557
51,1414
52,1123
53,1980
54,1527
55,1591
56,1665
57,1916
58,1662
59,1139
60,1973
61,1258
62,1041
63,1134
64,1609
65,1554
66,1455
67,1124
68,1478
69,1938
70,1759
71,1281
72,1410
73,1511
74,930
75,1319
76,1302
77,1827
78,1216
79,1404
80,1460
81,2002
82,1590
83,1817
84,1341
85,1631
86,1608
87,1382
88,1158
89,1594
90,1049
91,1804
92,1555
93,1753
94,447
95,1021
96,1079
97,609
98,1766
99,1327
100,1851
101,1052
102,1737
103,1175
104,1043
105,1945
106,1573
107,1113
108,1724
109,1203
110,1856
111,1682
112,1623
113,1135
114,1015
115,1423
116,1412
117,1315
118,1375
119,1895
120,1351
121,1530
122,1758
123,1445
124,1518
125,1819
126,1567
127,1305
128,1919
129,1952
130,1432
131,1099
132,1476
133,1883
134,1871
135,1900
136,1442
137,1393
138,1214
139,1283
140,1538
141,1391
142,1008
143,1109
144,1621
145,1876
146,1998
147,1032
148,1324
149,1927
150,481
151,1732
152,1370
153,1683
154,1199
155,1465
156,1882
157,1293
158,1671
159,1456
160,1197
161,1506
162,1381
163,1469
164,1830
165,1957
166,1850
167,1184
168,1564
169,1170
170,1943
171,1131
172,1867
173,1208
174,1788
175,1337
176,1722
177,1760
178,1651
179,1069
180,1574
181,1959
182,1770
183,66
184,1190
185,1606
186,1899
187,1054
188,980
189,1693
190,1173
191,1479
192,1333
193,1579
194,1720
195,1782
196,1971
197,1438
198,1178
199,1306
